Offboarding Reassignment Detail Report,"Request Overview:
In the current SAP Signavio Process Governance system, the offboarding functionality provides only a summary of the number of processes or tasks needing reassignment when a user is offboarded. There is a need to enhance the display to show which specific processes and tasks are involved in the transfer, along with comprehensive metadata such as process/task name, status, owner, and due date.

Use Case:
When an employee or process owner exits the organisation or assumes a new position, it is crucial to ensure that all ongoing responsibilities are effectively transferred. Administrators or reviewers overseeing the offboarding process need clarity on which items require reassignment to prevent disruptions. This level of transparency is essential for audit purposes, prioritization, and maintaining business continuity.

Challenges:
Currently, administrators are only provided with a count of processes/tasks, complicating an understanding of the scope and urgency of handovers.
The lack of clarity regarding the nature and status of tasks/processes poses a risk of neglecting or incorrectly assigning critical work items.
Insufficient details hinder compliance, audit tracking, and result in inefficiencies during handover discussions and planning.



Advantages:
Enhanced clarity: Administrators and newly assigned owners receive a comprehensive, actionable list of pending items, enabling effective review and prioritisation.
Risk reduction: Guarantees that no high-priority or time-sensitive tasks are overlooked during the transition.
Improved efficiency: Optimizes the handover process, minimizing the need for additional follow-up and reducing post-offboarding complications.
Enhanced audit trails: Provides a documented record of what was reallocated, supporting compliance and review after handover.
Better user experience: Provides stakeholders with assurance that the offboarding process is thorough, reducing confusion and challenges.


",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo5NWZhYWRhNy0zOWU1LTQzOTYtYjYwYy1lNjE2YTAzYjRjNjg=
Enhanced user management panel with custom customer data,"Hi Team,
Seagate is interested in having a user's GID (already submitted in the system) be listed next to each user's name in their monthly report.  The GID is a unique company identifier for each employee.  If we could provide this in their report, it would be a great help to Seagate to better manage their users.  This does not need to be added to their next report (October).
Seagate is also interested in what other information could be provided in these reports (i.e. what models they have engaged with).
I would simply like to better understand the information we can provide to properly set the client's expectations.
Thank you in advance!
Kevin",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo1NzU1Zjk3My0zZGM1LTQ2NjEtYjY1OS05NDAxZTBjNTU2MjU=
Offboarding Item Insight Panel,"Hi Team,


Bosch BBM as a large customer with many employees wants a better overview when replacing users in PG.


Initial situation: 
In PG, an administrator does not necessarily have access to all information such as processes, tasks or reports. In many cases, however, they do, because the content is either visible to everyone or the administrators have been proactively given access to the content.


If a user is deleted or his WF license is revoked, he will appear in the offboarding list for the PG admins if he has open items. Bosch would like to not only read the number of workflows, tasks or reports, but also be able to open them or at least see the names in order to distribute individual items to different users and to understand what is behind them.


Personal note: This wish collides with the current concept of permission management (admin can't see everything per se). Therefore, I can imagine as an extension also a named list of items, where only some of them can be opened and others may be shown as missing access rights.
",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpiMTQ4MWZmOC1lMGQxLTQwMzAtOThhOS05ZTRiMTcyM2NiNzQ=
User Offboarding with User Group Visibility,"osch BBM as a large customer with many employees wants a better overview when replacing users in PG.


Initial situation: 
In the context of user offboarding in PG, a large number of users regularly appear for whom there seems to be no reason for a replacement. See screenshot. According to support, the reason seems to be that these users are still assigned to user groups in PG and have to be replaced there. However, the information of the user group is not recognizable from the offboarding. Especially for enterprise customers like Bosch, this is not a good way to handle an offboarding. In addition, this approach is not consistent with the Process Manager, where a user is also dropped from the user group after deletion.


Possible solutions:
Users are automatically removed from user groups after deletion with the risk that a user group runs empty (analog PM). The user does not appear in the offboarding.
In the offboarding, the membership in the corresponding user groups is displayed, so that a real decision can be made.
General revision in the context of the reorganization of the user management in 2023, since many customers wish to manage the groups not only in the Process Manager, but also in the Process Governance centrally (e.g. via an AD).
",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo1N2ZhYzkyMS0yMmU2LTRhZDctOWNmMi00ZmZlMGIxOGE4MTI=
Offboarding replacement note for easier task replacement,"Initial situation:
In PG, an administrator does not necessarily have access to all information such as processes, tasks or reports. In many cases, however, they do, because the content is either visible to everyone or the administrators have been proactively given access to the content.
If a user is deleted or his WF license is revoked, he will appear in the offboarding list for the PG admins if he has open items. Bosch would like to not only read the number of workflows, tasks or reports, but also be able to open them or at least see the names in order to distribute individual items to different users and to understand what is behind them.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTowZjA0MGViMC1kMWVkLTQyMjEtODg0Zi1hM2FjZGEyMWYxZGU=
Offboarding replacement note for easier task replacement,"The customer wishes, to have an information field during offboarding in SPM user management, which will be shown in the replacement list in SPG. Customer is using central user management.
Use case:
The administrator of Process Governance doesn't know to whom to assign the tasks and processes, which have been previously assigned to a removed user. I would be helpful, if during removal, could they add an information during a removal, who is the replacement of the user or at least the manager.
This information needed to be transferred between the applications.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTowZjA0MGViMC1kMWVkLTQyMjEtODg0Zi1hM2FjZGEyMWYxZGU=
User Group Replacement Information in Offboarding List,"If a user has been removed and has no processes nor tasks to do, still can stand on the offboarding list. It would be helpful, if there would be an information for which user groups the user needs to be replaced. This information could be stored in an additional column.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo1OTVmZDQyMC03ZTE4LTQxNDgtOThjZC1hYmNkM2I4YmU5NjA=
Bulk User Deletion,"We require a feature that allows administrators to delete multiple user accounts in one action. This will streamline the user management process, especially for companies or organizations with a large number of user accounts.






Use Case
Scenario:
An administrator in a large corporation needs to delete 50 user accounts that are no longer in use due to employees leaving the company.
Steps:
The admin logs into the user management dashboard.
The admin navigates to the user list.
The admin selects multiple users that need to be deleted.
The admin confirms the action to delete the selected users in bulk.
The system processes the deletion and provides feedback on the success or failure of the operation.





Pain Points
Time Consuming: Deleting users one by one is extremely time-consuming, especially when the number of users to be deleted is large.
Human Error: Manually deleting users increases the risk of human error, such as accidentally deleting the wrong user account.
Inefficiency: The current process is inefficient and does not scale well with the needs of growing organizations.





Benefits
Time Saving: Bulk deletion will significantly reduce the time required for user account management.
Error Reduction: Minimizes the risk of human error by allowing a single, controlled action for deleting multiple users.
Efficiency: Streamlines the user management process, making it more efficient and scalable.
Improved User Experience: Enhances the overall user experience for administrators, reducing frustration and improving productivity.
Resource Optimization: Frees up system resources by quickly removing inactive user accounts, improving system performance.
",https://signavio.productboard.com/detail/MTpQbUVudGl0eTphNWQ1MGFkYi1mOWYzLTRiNzAtODRhYS0yNTZhMDRhNzkwODI=
Off boarding time customization,"Request Details
Currently, SAP Signavio Process Governance implements user information (GDPR) deletion on a fixed time frame after a user is deleted, which cannot be customized by customers. This feature request is to introduce an option that allows administrators to define and configure the retention period for user data deletion—similarly to the existing flexibility in SAP Signavio Process Manager.




Use Case
Organizations using SAP Signavio Process Governance may operate in different jurisdictions or have internal policies that dictate specific retention periods for user data, post-deletion. For instance, some EU-based companies are required to retain or delete user data immediately after offboarding, while others must keep the data for a defined period to comply with audit requirements. The ability to customize this time frame ensures that companies can align with both legal requirements and internal data policies across different regions.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo0YjU3MGRhNy1jN2VmLTQ3OTAtODdiNS01YjYyYjM2MjVhNTU=
Restrict Process Creation - Group Management,"I am aware that there is an option ""Process Governance-->Organization Settings-->Workspace-->Restrict process creation"" but i cannot define such a group and would like to have this option for individual users.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UyZjRlMS1iZTljLTQxYTUtYTk2My1jNmJiNzcyZTE3OWM=
